"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"LA1777 LVS01 hydrophilic"	"LA1777 LVS02 hydrophilic"	"LA1777 LVS03 hydrophilic"	"LA1777 TRI01 hydrophilic"	"LA1777 TRI02 hydrophilic"	"LA1777 TRI03 hydrophilic"	"LA4024 LVS01 hydrophilic"	"LA4024 LVS02 hydrophilic"	"LA4024 LVS03 hydrophilic"	"LA4024 TRI01 hydrophilic"	"LA4024 TRI02 hydrophilic"	"LA4024 TRI03 hydrophilic"
"CHEBI:17489"	"C10H12N5O6P"	"Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O"	"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1"	"cyclic AMP"	"328.04522"	""	""	""	"7.61"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"508.5486833752"	"636.8313927166"	"850.7505958382"	"6689.6131573989"	"9244.3631636814"	"8003.6358912702"	"523.900058804"	"645.7885500893"	"654.672299454"	"14978.5316836285"	"11273.2716974414"	"12910.3603673773"
"CHEBI:17239"	"C9H15N3O11P2"	"Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1"	"InChI=1S/C9H15N3O11P2/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"CDP"	"402.01092"	""	""	""	"12.8"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"6921.776767364"	"5929.9971597204"	"5570.5628765647"	"44367.4482299677"	"46247.4832172826"	"41670.9434872944"	"15764.757672053"	"28102.2254536114"	"17305.735924944"	"15408.0171805269"	"13739.7753677547"	"16557.8592276248"
"CHEBI:16436"	"C14H26N4O11P2"	"C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O"	"InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/t9-,11-,12-,13-/m1/s1"	"CDP-choline"	"487.10005"	""	""	""	"2.4"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"1363.8561002056"	"933.8467807003"	"1243.1434250892"	"3476.0273582928"	"4436.0620249806"	"2894.0750011305"	"2737.5885157748"	"2297.0009148565"	"3318.084629369"	"1098.5059038072"	"673.2759173208"	"1345.517047417"
"CHEBI:16356"	"C10H12N5O7P"	"Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O"	"InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-5(16)6-3(21-9)1-20-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1"	"cyclic GMP"	"344.04012"	""	""	""	"6.5"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"630.2965007511"	"687.0285020587"	"1113.3965093839"	"6962.2320284313"	"9187.6367459332"	"9379.143378041"	"628.1827809872"	"ted"	"1111.278537095"	"17673.5348422554"	"16709.7103488744"	"19699.9001245978"
"CHEBI:30769"	"C6H8O7"	"OC(=O)CC(O)(CC(O)=O)C(O)=O"	"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"	"citrate"	"191.01972"	""	""	""	"13.14"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"4886242.28601462"	"5532020.54106636"	"5262851.29827182"	"9327951.49893376"	"1.26535908902974E7"	"1.20425867654402E7"	"4618266.14036098"	"6559965.13169789"	"5341329.8074774"	"4659935.14994105"	"5243154.7082656"	"5206472.92652345"
"CHEBI:16349"	"C6H13N3O3"	"N[C@@H](CCCNC(N)=O)C(O)=O"	"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1"	"L-citrulline"	"174.08842"	""	""	""	"0.65"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"2295.5590274888"	"2139.4436351588"	"3044.4969578817"	"8658.9140027684"	"10031.3372900584"	"12099.2297671508"	"5593.6090255114"	"7752.6033125686"	"9911.1726823006"	"8169.0574112043"	"7409.6638113873"	"8306.1044690973"
"CHEBI:17361"	"C9H14N3O8P"	"Nc1ccn([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1"	"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"CMP"	"322.04462"	""	""	""	"6.73"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"4087.9420160703"	"4172.5117471092"	"6575.9988024588"	"46969.1097981675"	"46319.8625001117"	"47166.4079471652"	"10128.3505915214"	"12334.160426979"	"11779.0797440854"	"9779.2961137213"	"8457.888076535"	"9811.2740430208"
"CHEBI:15346"	"C21H36N7O16P3S"	"CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS"	"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1"	"coenzyme A"	"766.10792"	""	""	""	"17.34"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"3558.5376103123"	"3242.6773499356"	"3835.8486979404"	"7020.9784024041"	"10808.1523049881"	"6807.4275290312"	"8771.5421816945"	"10156.7899959295"	"9128.4461315224"	"2837.0034820214"	"2023.9546704564"	"2375.1493257543"
"CHEBI:17287"	"C4H10N3O5P"	"CN(CC(O)=O)C(=N)NP(O)(O)=O"	"InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)"	"creatine phosphate"	"210.02852"	""	""	""	"8.89"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"83259.1214211476"	"104781.93261848"	"98451.8423722061"	"313830.181303107"	"267701.457795604"	"289833.323532943"	"332180.350615027"	"402725.419803722"	"401311.775696272"	"358683.880720008"	"289329.154964348"	"384724.552160781"
"CHEBI:17677"	"C9H16N3O14P3"	"Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1"	"InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"CTP"	"481.97722"	""	""	""	"14.79"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"26184.5235885328"	"30074.7677356058"	"27656.9636461605"	"178169.078613389"	"263053.119157037"	"199146.408786542"	"64914.3419602732"	"70960.9259064194"	"69757.5358297054"	"143027.939213332"	"131284.172571062"	"135886.619254713"
