"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"LA1777 LVS01 semi-polar"	"LA1777 LVS02 semi-polar"	"LA1777 LVS03 semi-polar"	"LA1777 TRI01 semi-polar"	"LA1777 TRI02 semi-polar"	"LA1777 TRI03 semi-polar"	"LA4024 LVS01 semi-polar"	"LA4024 LVS02 semi-polar"	"LA4024 LVS03 semi-polar"	"LA4024 TRI01 semi-polar"	"LA4024 TRI02 semi-polar"	"LA4024 TRI03 semi-polar"
""	""	""	""	""	"555.2589"	""	""	""	"12.5"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"189.3078318787"	"162.8835034561"	"63.4105774879"	"0"	"0"	"0"	"0"	"20.5393473252"	"16.0234324374"
""	""	""	""	""	"555.3664"	""	""	""	"19.14"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"38.1882333183"	"0"	"113.6442011833"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"556.0133"	""	""	""	"6.62"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"206.3750368977"	"173.9969871998"	"300.108989048"	"0"	"0"	"0"	"122.5297039986"	"115.8015643561"	"72.5398037148"	"0"	"0"	"0"
""	""	""	""	""	"556.1521"	""	""	""	"6.26"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"16.4325118065"	"16.5678554153"	"17.3361252564"	"0"	"0"	"5.5844548512"	"39.8798631096"	"41.1958080339"	"0"	"0"	"0"	"0"
""	""	""	""	""	"556.2273"	""	""	""	"14.23"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"792.8025535583"	"590.0365621185"	"850.7832983398"	"573.6193237305"	"630.2355664063"	"682.4383099365"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"556.3111"	""	""	""	"12.76"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"268.2616086745"	"181.4218674278"	"236.4050441027"	"60.8161302567"	"89.2290863037"	"78.9025706482"	"475.6556954956"	"497.7448074913"	"222.8293843937"	"41.6939220707"	"53.2595070453"	"56.6747714551"
""	""	""	""	""	"556.3712"	""	""	""	"17.2"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"10.2258678913"	"0"	"35.2405822086"	"0"	"0"	"0"	"0"	"0"	"0"
""	""	""	""	""	"557.15"	""	""	""	"19.11"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"89.4169874287"	"100.922470417"	"54.8311793661"	"57.6983491516"	"16.5004038239"	"12.2073925495"	"57.0898867989"	"52.0935083437"	"37.6642170429"	"10.3032421716"	"16.3213316504"	"41.3890613906"
""	""	""	""	""	"557.3351"	""	""	""	"17.37"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"300.7321051979"	"111.1522076684"	"126.440331068"	"356.3029330444"	"209.0259910584"	"385.4450713682"	"112.6229682112"	"90.680089159"	"72.5186567593"	"2815.1072918447"	"1649.7490564219"	"1844.0536103821"
""	""	""	""	""	"558.2922"	""	""	""	"10.09"	"PO:http://purl.obolibrary.org/obo/PO_0025034"	"leaf"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"50.7847958231"	"46.4328822041"	"22.9468684912"	"2506.1353130086"	"2135.9278241984"	"2802.9106288735"
